"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 29 19:29:00 GMT 2023","Sat Jul 29 19:29:01 GMT 2023","1489","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator1-product_locator1]",""
"passed","Sat Jul 29 19:28:58 GMT 2023","Sat Jul 29 19:28:59 GMT 2023","1474","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator0-product_locator0]",""
"passed","Sat Jul 29 19:28:52 GMT 2023","Sat Jul 29 19:28:53 GMT 2023","1473","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_registration_form",""
"passed","Sat Jul 29 19:28:56 GMT 2023","Sat Jul 29 19:28:57 GMT 2023","966","tests","test_contact_message","TestContactMessageForm","","","test_contact_message_form",""
"passed","Sat Jul 29 19:28:54 GMT 2023","Sat Jul 29 19:28:55 GMT 2023","1491","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_login_form",""
"broken","Sat Jul 29 19:29:02 GMT 2023","Sat Jul 29 19:29:05 GMT 2023","2635","tests","test_shopping_cart","TestShoppingCart","","","test_shopping_cart",""
