"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Тесты добавления продукта в корзину и оформления заказа.","Тест оформления заказа.","0","0","1","0","0"
"","Тесты регистрации и аутентификации нового пользователя.","Тест аутентификации нового пользователя.","0","0","1","0","0"
"","Тесты формы отправления сообщения.","Тест отправления сообщения с контактами.","0","0","1","0","0"
"","Тесты добавления продукта в корзину и оформления заказа.","Тест добавления продуктов в корзину.","0","1","1","0","0"
"","Тесты регистрации и аутентификации нового пользователя.","Тест регистрации нового пользователя.","0","0","1","0","0"
