"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 04 12:06:43 GMT 2023","Fri Aug 04 12:06:45 GMT 2023","1698","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_login_form",""
"passed","Fri Aug 04 12:06:51 GMT 2023","Fri Aug 04 12:06:52 GMT 2023","1585","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator2-product_locator2]",""
"broken","Fri Aug 04 12:06:49 GMT 2023","Fri Aug 04 12:06:50 GMT 2023","526","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator1-product_locator1]",""
"passed","Fri Aug 04 12:06:41 GMT 2023","Fri Aug 04 12:06:42 GMT 2023","1389","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_registration_form",""
"passed","Fri Aug 04 12:06:53 GMT 2023","Fri Aug 04 12:06:56 GMT 2023","3173","tests","test_shopping_cart","TestShoppingCart","","","test_shopping_cart",""
"passed","Fri Aug 04 12:06:45 GMT 2023","Fri Aug 04 12:06:46 GMT 2023","795","tests","test_contact_message","TestContactMessageForm","","","test_contact_message_form",""
"passed","Fri Aug 04 12:06:47 GMT 2023","Fri Aug 04 12:06:49 GMT 2023","1566","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator0-product_locator0]",""
