"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 30 16:00:52 GMT 2023","Sun Jul 30 16:00:53 GMT 2023","1489","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator0-product_locator0]",""
"passed","Sun Jul 30 16:00:55 GMT 2023","Sun Jul 30 16:00:56 GMT 2023","1380","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator2-product_locator2]",""
"passed","Sun Jul 30 16:00:45 GMT 2023","Sun Jul 30 16:00:47 GMT 2023","1473","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_registration_form",""
"passed","Sun Jul 30 16:00:50 GMT 2023","Sun Jul 30 16:00:51 GMT 2023","945","tests","test_contact_message","TestContactMessageForm","","","test_contact_message_form",""
"passed","Sun Jul 30 16:00:47 GMT 2023","Sun Jul 30 16:00:49 GMT 2023","1685","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_login_form",""
"broken","Sun Jul 30 16:00:54 GMT 2023","Sun Jul 30 16:00:54 GMT 2023","544","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator1-product_locator1]",""
"passed","Sun Jul 30 16:00:57 GMT 2023","Sun Jul 30 16:01:00 GMT 2023","2918","tests","test_shopping_cart","TestShoppingCart","","","test_shopping_cart",""
