"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 30 17:31:16 GMT 2023","Sun Jul 30 17:31:17 GMT 2023","988","tests","test_contact_message","TestContactMessageForm","","","test_contact_message_form",""
"passed","Sun Jul 30 17:31:20 GMT 2023","Sun Jul 30 17:31:22 GMT 2023","1475","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator1-product_locator1]",""
"passed","Sun Jul 30 17:31:25 GMT 2023","Sun Jul 30 17:31:28 GMT 2023","3071","tests","test_shopping_cart","TestShoppingCart","","","test_shopping_cart",""
"passed","Sun Jul 30 17:31:11 GMT 2023","Sun Jul 30 17:31:13 GMT 2023","1710","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_registration_form",""
"passed","Sun Jul 30 17:31:14 GMT 2023","Sun Jul 30 17:31:16 GMT 2023","1820","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_login_form",""
"passed","Sun Jul 30 17:31:22 GMT 2023","Sun Jul 30 17:31:24 GMT 2023","1553","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator2-product_locator2]",""
"passed","Sun Jul 30 17:31:18 GMT 2023","Sun Jul 30 17:31:19 GMT 2023","1534","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator0-product_locator0]",""
