"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 20 19:10:18 GMT 2023","Thu Jul 20 19:10:21 GMT 2023","3120","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_registration_form",""
"failed","Wed Jul 19 18:37:21 GMT 2023","Wed Jul 19 18:37:22 GMT 2023","1779","tests","test_registration","TestRegistrationForm","","","test_registration_form",""
"passed","Thu Jul 20 19:10:22 GMT 2023","Thu Jul 20 19:10:24 GMT 2023","2028","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_login_form",""
