"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 30 15:07:11 GMT 2023","Sun Jul 30 15:07:13 GMT 2023","2771","tests","test_shopping_cart","TestShoppingCart","","","test_shopping_cart",""
"passed","Sun Jul 30 15:07:04 GMT 2023","Sun Jul 30 15:07:05 GMT 2023","889","tests","test_contact_message","TestContactMessageForm","","","test_contact_message_form",""
"passed","Sun Jul 30 15:07:09 GMT 2023","Sun Jul 30 15:07:10 GMT 2023","1369","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator2-product_locator2]",""
"passed","Sun Jul 30 15:07:01 GMT 2023","Sun Jul 30 15:07:03 GMT 2023","1577","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_login_form",""
"broken","Sun Jul 30 15:07:07 GMT 2023","Sun Jul 30 15:07:08 GMT 2023","501","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator1-product_locator1]",""
"passed","Sun Jul 30 15:06:59 GMT 2023","Sun Jul 30 15:07:01 GMT 2023","1360","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_registration_form",""
"passed","Sun Jul 30 15:07:05 GMT 2023","Sun Jul 30 15:07:07 GMT 2023","1335","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator0-product_locator0]",""
