"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 30 14:48:49 GMT 2023","Sun Jul 30 14:48:51 GMT 2023","1771","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_login_form",""
"passed","Sun Jul 30 14:48:54 GMT 2023","Sun Jul 30 14:48:55 GMT 2023","1552","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator0-product_locator0]",""
"passed","Sun Jul 30 14:48:47 GMT 2023","Sun Jul 30 14:48:49 GMT 2023","1624","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_registration_form",""
"passed","Sun Jul 30 14:48:58 GMT 2023","Sun Jul 30 14:49:01 GMT 2023","2950","tests","test_shopping_cart","TestShoppingCart","","","test_shopping_cart",""
"passed","Sun Jul 30 14:48:52 GMT 2023","Sun Jul 30 14:48:53 GMT 2023","933","tests","test_contact_message","TestContactMessageForm","","","test_contact_message_form",""
"passed","Sun Jul 30 14:48:56 GMT 2023","Sun Jul 30 14:48:57 GMT 2023","1429","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator1-product_locator1]",""
