"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 30 17:01:17 GMT 2023","Sun Jul 30 17:01:19 GMT 2023","1379","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator1-product_locator1]",""
"passed","Sun Jul 30 17:01:15 GMT 2023","Sun Jul 30 17:01:16 GMT 2023","1498","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator0-product_locator0]",""
"passed","Sun Jul 30 17:01:09 GMT 2023","Sun Jul 30 17:01:10 GMT 2023","1477","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_registration_form",""
"passed","Sun Jul 30 17:01:13 GMT 2023","Sun Jul 30 17:01:14 GMT 2023","903","tests","test_contact_message","TestContactMessageForm","","","test_contact_message_form",""
"passed","Sun Jul 30 17:01:19 GMT 2023","Sun Jul 30 17:01:21 GMT 2023","1546","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator2-product_locator2]",""
"passed","Sun Jul 30 17:01:11 GMT 2023","Sun Jul 30 17:01:13 GMT 2023","1698","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_login_form",""
"passed","Sun Jul 30 17:01:21 GMT 2023","Sun Jul 30 17:01:24 GMT 2023","2947","tests","test_shopping_cart","TestShoppingCart","","","test_shopping_cart",""
