"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 30 15:10:59 GMT 2023","Sun Jul 30 15:11:00 GMT 2023","1597","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_registration_form",""
"passed","Sun Jul 30 15:11:06 GMT 2023","Sun Jul 30 15:11:07 GMT 2023","1515","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator0-product_locator0]",""
"broken","Sun Jul 30 15:11:08 GMT 2023","Sun Jul 30 15:11:09 GMT 2023","567","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator1-product_locator1]",""
"passed","Sun Jul 30 15:11:04 GMT 2023","Sun Jul 30 15:11:05 GMT 2023","1048","tests","test_contact_message","TestContactMessageForm","","","test_contact_message_form",""
"passed","Sun Jul 30 15:11:12 GMT 2023","Sun Jul 30 15:11:15 GMT 2023","3416","tests","test_shopping_cart","TestShoppingCart","","","test_shopping_cart",""
"passed","Sun Jul 30 15:11:09 GMT 2023","Sun Jul 30 15:11:11 GMT 2023","1523","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator2-product_locator2]",""
"passed","Sun Jul 30 15:11:01 GMT 2023","Sun Jul 30 15:11:03 GMT 2023","1990","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_login_form",""
