"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 30 17:33:59 GMT 2023","Sun Jul 30 17:34:03 GMT 2023","4002","tests","test_shopping_cart","TestShoppingCart","","","test_shopping_cart",""
"passed","Sun Jul 30 17:33:46 GMT 2023","Sun Jul 30 17:33:48 GMT 2023","2099","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_login_form",""
"passed","Sun Jul 30 17:33:53 GMT 2023","Sun Jul 30 17:33:55 GMT 2023","1901","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator1-product_locator1]",""
"passed","Sun Jul 30 17:33:43 GMT 2023","Sun Jul 30 17:33:45 GMT 2023","1822","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_registration_form",""
"passed","Sun Jul 30 17:33:51 GMT 2023","Sun Jul 30 17:33:53 GMT 2023","1928","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator0-product_locator0]",""
"passed","Sun Jul 30 17:33:49 GMT 2023","Sun Jul 30 17:33:50 GMT 2023","1248","tests","test_contact_message","TestContactMessageForm","","","test_contact_message_form",""
"passed","Sun Jul 30 17:33:56 GMT 2023","Sun Jul 30 17:33:58 GMT 2023","1865","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator2-product_locator2]",""
