"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 29 19:58:37 GMT 2023","Sat Jul 29 19:58:39 GMT 2023","1693","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator0-product_locator0]",""
"passed","Sat Jul 29 19:58:31 GMT 2023","Sat Jul 29 19:58:33 GMT 2023","1516","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_registration_form",""
"passed","Sat Jul 29 19:58:42 GMT 2023","Sat Jul 29 19:58:44 GMT 2023","2719","tests","test_shopping_cart","TestShoppingCart","","","test_shopping_cart",""
"passed","Sat Jul 29 19:58:40 GMT 2023","Sat Jul 29 19:58:41 GMT 2023","1297","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator1-product_locator1]",""
"passed","Sat Jul 29 19:58:36 GMT 2023","Sat Jul 29 19:58:37 GMT 2023","900","tests","test_contact_message","TestContactMessageForm","","","test_contact_message_form",""
"passed","Sat Jul 29 19:58:34 GMT 2023","Sat Jul 29 19:58:35 GMT 2023","1464","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_login_form",""
