"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 28 09:07:45 GMT 2023","Fri Jul 28 09:07:46 GMT 2023","1126","tests","test_contact_message","TestContactMessageForm","","","test_contact_message_form",""
"passed","Fri Jul 28 09:07:47 GMT 2023","Fri Jul 28 09:07:48 GMT 2023","1391","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_registration_form",""
"passed","Fri Jul 28 09:07:51 GMT 2023","Fri Jul 28 09:07:53 GMT 2023","1842","tests","test_shopping_cart","TestShoppingCart","","","test_shopping_cart",""
"passed","Fri Jul 28 09:07:49 GMT 2023","Fri Jul 28 09:07:50 GMT 2023","1294","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_login_form",""
