"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 30 17:24:15 GMT 2023","Sun Jul 30 17:24:17 GMT 2023","1893","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator1-product_locator1]",""
"passed","Sun Jul 30 17:24:08 GMT 2023","Sun Jul 30 17:24:10 GMT 2023","2118","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_login_form",""
"passed","Sun Jul 30 17:24:11 GMT 2023","Sun Jul 30 17:24:12 GMT 2023","1123","tests","test_contact_message","TestContactMessageForm","","","test_contact_message_form",""
"passed","Sun Jul 30 17:24:18 GMT 2023","Sun Jul 30 17:24:20 GMT 2023","1759","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator2-product_locator2]",""
"passed","Sun Jul 30 17:24:20 GMT 2023","Sun Jul 30 17:24:24 GMT 2023","3750","tests","test_shopping_cart","TestShoppingCart","","","test_shopping_cart",""
"passed","Sun Jul 30 17:24:05 GMT 2023","Sun Jul 30 17:24:07 GMT 2023","1783","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_registration_form",""
"passed","Sun Jul 30 17:24:13 GMT 2023","Sun Jul 30 17:24:15 GMT 2023","1977","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator0-product_locator0]",""
