"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 30 17:35:26 GMT 2023","Sun Jul 30 17:35:27 GMT 2023","1446","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator0-product_locator0]",""
"passed","Sun Jul 30 17:35:29 GMT 2023","Sun Jul 30 17:35:31 GMT 2023","1521","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator2-product_locator2]",""
"passed","Sun Jul 30 17:35:20 GMT 2023","Sun Jul 30 17:35:21 GMT 2023","1398","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_registration_form",""
"passed","Sun Jul 30 17:35:24 GMT 2023","Sun Jul 30 17:35:25 GMT 2023","957","tests","test_contact_message","TestContactMessageForm","","","test_contact_message_form",""
"broken","Sun Jul 30 17:35:28 GMT 2023","Sun Jul 30 17:35:29 GMT 2023","538","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator1-product_locator1]",""
"passed","Sun Jul 30 17:35:32 GMT 2023","Sun Jul 30 17:35:34 GMT 2023","2877","tests","test_shopping_cart","TestShoppingCart","","","test_shopping_cart",""
"passed","Sun Jul 30 17:35:22 GMT 2023","Sun Jul 30 17:35:24 GMT 2023","1686","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_login_form",""
