"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Тесты регистрации и аутентификации нового пользователя.","Тест регистрации нового пользователя.","0","1","0","0","0"
"","Тесты формы отправления сообщения.","Тест отправления сообщения с контактами.","0","1","0","0","0"
"","Тесты регистрации и аутентификации нового пользователя.","Тест аутентификации нового пользователя.","0","1","0","0","0"
"","Тесты добавления продукта в корзину.","Тест добавления продукта в корзину.","0","1","0","0","0"
