"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 30 17:24:45 GMT 2023","Sun Jul 30 17:24:47 GMT 2023","1884","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator2-product_locator2]",""
"passed","Sun Jul 30 17:24:33 GMT 2023","Sun Jul 30 17:24:35 GMT 2023","1703","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_registration_form",""
"passed","Sun Jul 30 17:24:35 GMT 2023","Sun Jul 30 17:24:37 GMT 2023","1967","tests","test_registration_and_login","TestRegistrationAndLoginForm","","","test_login_form",""
"passed","Sun Jul 30 17:24:40 GMT 2023","Sun Jul 30 17:24:42 GMT 2023","1677","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator0-product_locator0]",""
"passed","Sun Jul 30 17:24:38 GMT 2023","Sun Jul 30 17:24:39 GMT 2023","1072","tests","test_contact_message","TestContactMessageForm","","","test_contact_message_form",""
"passed","Sun Jul 30 17:24:42 GMT 2023","Sun Jul 30 17:24:44 GMT 2023","1704","tests","test_shopping_cart","TestShoppingCart","","","test_add_product_cart[category_locator1-product_locator1]",""
"passed","Sun Jul 30 17:24:47 GMT 2023","Sun Jul 30 17:24:51 GMT 2023","3752","tests","test_shopping_cart","TestShoppingCart","","","test_shopping_cart",""
